Order_ID,Order_Date,Customer_Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time,Distance_km_Normalized,Packages_Normalized,Actual_Time_min_Normalized,Delivery_Cost_Normalized
ORD0001,2026-07-07,East,Van,39.4625,18.0,25,216,210.0,578.74125,0,1.0,0.6267281105990783,1.0,1.0
ORD0002,2026-07-20,East,Van,15.2,6.0,25,95,119.0,274.76,0,0.3506189360990298,0.18433179723502305,0.5284974093264249,0.3597311336775342
ORD0003,2026-07-29,North,Mini Truck,13.9,3.0,15,62,64.0,268.25,0,0.3158246905319505,0.07373271889400922,0.24352331606217617,0.3460192671734019
ORD0004,2026-07-15,East,Truck,9.0,19.0,50,97,121.0,268.71,0,0.18467714954834394,0.663594470046083,0.538860103626943,0.34698815482192735
ORD0005,2026-07-11,East,Van,8.5,15.0,25,64,67.0,262.45,0,0.1712947474071596,0.5161290322580645,0.25906735751295334,0.33380285769199375
ORD0006,2026-07-08,North,Mini Truck,13.75,5.0,15,78,93.0,206.81,0,0.3118099698895952,0.14746543778801843,0.39378238341968913,0.2166095777703473
ORD0007,2026-07-29,East,Mini Truck,9.3,10.0,15,77,87.0,216.2,0,0.19270659083305458,0.3317972350230415,0.3626943005181347,0.23638752346524772
ORD0008,2026-07-21,Central,Truck,24.8,7.0,50,113,114.0,392.0,0,0.6075610572097692,0.22119815668202766,0.5025906735751295,0.6066711074017224
ORD0009,2026-07-07,South,Mini Truck,10.7,17.0,15,74,82.0,298.28,0,0.2301773168283707,0.5898617511520737,0.33678756476683935,0.409270780402141
ORD0010,2026-07-26,South,Van,18.1,7.0,25,112,128.0,344.05,0,0.428236868517899,0.22119815668202766,0.5751295336787565,0.5056751014304257
ORD0011,2026-07-19,North,Van,39.4625,12.0,25,307,210.0,578.74125,0,1.0,0.4055299539170507,1.0,1.0
ORD0012,2026-07-23,West,Truck,13.9,17.0,50,96,88.0,286.3,1,0.3158246905319505,0.5898617511520737,0.36787564766839376,0.38403757599054283
ORD0013,2026-07-11,North,Mini Truck,16.3,13.0,15,99,132.0,344.39,0,0.38006022080963536,0.4423963133640553,0.5958549222797928,0.5063912357793358
ORD0014,2026-07-11,West,Mini Truck,22.6,20.0,15,146,160.0,507.55,0,0.5486784877885581,0.7004608294930875,0.7409326424870466,0.850051472156328
ORD0015,2026-07-24,South,Van,6.7,4.0,25,52,49.0,162.12,1,0.12311809969889595,0.11059907834101383,0.16580310880829016,0.1224800364386007
ORD0016,2026-07-21,North,Mini Truck,15.0,10.0,15,102,133.0,252.28,0,0.3452659752425561,0.3317972350230415,0.6010362694300518,0.3123820155495936
ORD0017,2026-07-04,Central,Mini Truck,25.3,3.0,15,128,150.0,380.84,0,0.6209434593509535,0.07373271889400922,0.689119170984456,0.5831650505374957
