Order_ID,Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Traffic_Level,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time,Delay_min
ORD1001,West,Truck,71.3,34,50,High,148.0,164.1,856.43,0,16.099999999999994
ORD1002,East,Van,79.0,27,25,Medium,136.5,152.6,724.35,0,16.099999999999994
ORD1003,South,Bike,12.9,11,10,Low,49.8,62.0,155.23,0,12.200000000000003
ORD1004,South,Truck,51.6,34,50,Medium,120.2,127.3,746.22,0,7.099999999999994
ORD1005,South,Van,7.9,17,25,Medium,60.5,76.7,297.57,0,16.200000000000003
ORD1006,West,Bike,60.8,18,10,High,119.3,134.4,564.24,0,15.100000000000009
ORD1007,South,Truck,41.6,15,50,Medium,88.4,98.2,545.89,0,9.799999999999997
ORD1008,North,Truck,19.9,5,50,Medium,56.9,58.8,323.32,1,1.8999999999999986
ORD1009,South,Van,15.1,32,25,Medium,85.0,89.5,513.12,1,4.5
ORD1010,North,Truck,71.8,1,50,Medium,98.8,98.8,560.38,1,0.0
ORD1011,North,Van,23.0,6,25,Medium,60.9,71.8,312.15,0,10.899999999999999
ORD1012,North,Bike,111.2,8,10,High,152.7,162.5,695.58,0,9.800000000000011
ORD1013,West,Truck,71.0,10,50,Medium,108.9,118.4,622.91,0,9.5
ORD1014,East,Bike,43.6,5,10,Low,70.2,72.9,348.61,1,2.700000000000003
ORD1015,East,Van,72.1,1,25,Low,91.1,103.3,532.64,0,12.200000000000003
ORD1016,South,Van,5.7,24,25,Medium,66.9,76.2,351.86,0,9.299999999999997
ORD1017,East,Truck,115.2,33,50,High,186.3,217.0,1084.28,0,30.69999999999999
ORD1018,North,Van,59.4,5,25,Low,84.5,93.6,464.58,0,9.099999999999994
ORD1019,West,Bike,94.6,11,10,Low,123.3,123.3,656.81,1,0.0
ORD1020,East,Truck,12.7,18,50,Medium,66.0,69.5,427.07,1,3.5
ORD1021,West,Truck,59.9,32,50,Low,117.3,117.3,699.72,1,0.0
ORD1022,North,Van,60.4,24,25,High,126.2,134.6,604.7,0,8.399999999999991
ORD1023,South,Bike,112.7,27,10,Medium,166.8,187.4,847.16,0,20.599999999999994
ORD1024,East,Bike,69.9,20,10,Low,111.9,120.4,531.8,0,8.5
ORD1025,South,Truck,58.4,15,50,High,113.6,120.7,584.94,0,7.1000000000000085
ORD1026,South,Van,34.2,7,25,Low,64.2,64.2,387.07,1,0.0
ORD1027,North,Truck,41.8,30,50,Low,98.6,102.8,647.39,1,4.200000000000003
ORD1028,South,Van,63.9,28,25,Low,116.1,116.1,711.2,1,0.0
ORD1029,North,Van,54.4,1,25,Low,75.2,75.2,450.0,1,0.0
ORD1030,South,Truck,5.5,25,50,Low,60.0,66.2,470.07,0,6.200000000000003
