Order_ID,Order_Date,Customer_Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time
ORD0001,2026-07-07,East,Van,41.4,18.0,25,216,229.0,657.37,0
ORD0002,2026-07-20,East,Van,15.2,6.0,25,95,119.0,274.76,0
ORD0003,2026-07-29,North,Mini Truck,13.9,3.0,15,62,64.0,268.25,0
ORD0004,2026-07-15,East,Truck,9.0,19.0,50,97,121.0,268.71,0
ORD0005,2026-07-11,East,Van,8.5,15.0,25,64,67.0,262.45,0
ORD0006,2026-07-08,North,Mini Truck,,5.0,15,78,93.0,206.81,0
ORD0007,2026-07-29,East,Mini Truck,9.3,10.0,15,77,87.0,216.2,0
ORD0008,2026-07-21,Central,Truck,24.8,7.0,50,113,114.0,392.0,0
ORD0009,2026-07-07,South,Mini Truck,10.7,17.0,15,74,82.0,298.28,0
ORD0010,2026-07-26,South,Van,18.1,7.0,25,112,128.0,344.05,0
ORD0011,2026-07-19,North,Van,64.9,12.0,25,307,334.0,908.21,0
ORD0012,2026-07-23,West,Truck,13.9,17.0,50,96,88.0,286.3,1
ORD0013,2026-07-11,North,Mini Truck,16.3,13.0,15,99,132.0,344.39,0
ORD0014,2026-07-11,West,Mini Truck,22.6,20.0,15,146,160.0,507.55,0
ORD0015,2026-07-24,South,Van,6.7,4.0,25,52,49.0,162.12,1
ORD0016,2026-07-21,North,Mini Truck,15.0,10.0,15,102,133.0,252.28,0
ORD0017,2026-07-04,Central,Mini Truck,25.3,3.0,15,128,150.0,380.84,0
ORD0018,2026-07-08,East,Mini Truck,17.3,9.0,15,114,109.0,316.52,1
ORD0019,2026-07-24,West,Mini Truck,7.4,,15,76,70.0,219.62,1
ORD0020,2026-07-03,East,Truck,8.4,18.0,50,87,92.0,287.44,0
ORD0021,2026-07-22,East,Truck,4.7,15.0,50,60,71.0,235.86,0
ORD0022,2026-07-21,North,Van,25.1,4.0,25,122,144.0,397.29,0
ORD0023,2026-07-02,East,Mini Truck,6.3,15.0,15,68,88.0,217.27,0
ORD0024,2026-07-24,Central,Mini Truck,27.3,2.0,15,143,165.0,422.74,0
ORD0025,2026-07-12,East,Van,6.6,15.0,25,67,92.0,186.85,0
ORD0026,2026-07-30,North,Van,28.0,8.0,25,145,161.0,421.1,0
