Order_ID,Order_Date,Customer_Zone,Vehicle_Type,Distance_km,Packages,Vehicle_Capacity,Expected_Time_min,Actual_Time_min,Delivery_Cost,On_Time
ORD0001,2026-07-07,Central,Mini Truck,18.0,16,15,114,148,331.14,0
ORD0002,2026-07-20,South,Van,23.0,15,25,147,168,435.53,0
ORD0003,2026-07-29,North,Truck,19.4,15,50,118,133,339.7,0
ORD0004,2026-07-15,West,Mini Truck,8.0,5,15,54,68,161.04,0
ORD0005,2026-07-11,West,Van,11.4,14,25,97,109,309.33,0
ORD0006,2026-07-08,West,Truck,44.9,2,50,192,198,583.71,0
ORD0007,2026-07-29,Central,Van,3.8,11,25,39,28,180.95,1
ORD0008,2026-07-21,North,Truck,9.8,19,50,96,129,242.76,0
ORD0009,2026-07-07,Central,Truck,24.7,7,50,129,145,445.43,0
ORD0010,2026-07-26,Central,Truck,8.3,6,50,62,71,182.99,0
ORD0011,2026-07-19,North,Van,19.7,2,25,98,109,305.78,0
ORD0012,2026-07-23,North,Mini Truck,13.6,6,15,81,101,258.68,0
ORD0013,2026-07-11,North,Van,8.7,18,25,80,121,282.59,0
ORD0014,2026-07-11,North,Van,3.5,2,25,31,44,71.02,0
ORD0015,2026-07-24,West,Van,14.8,18,25,105,108,340.47,0
ORD0016,2026-07-21,East,Truck,7.9,15,50,72,78,223.33,0
ORD0017,2026-07-04,East,Truck,12.3,19,50,94,117,274.36,0
ORD0018,2026-07-08,North,Van,17.9,2,25,89,93,306.48,0
ORD0019,2026-07-24,East,Truck,21.9,20,50,122,146,429.0,0
ORD0020,2026-07-03,East,Van,9.7,6,25,72,50,213.46,1
ORD0021,2026-07-22,North,Truck,8.7,1,50,57,62,169.9,0
ORD0022,2026-07-21,East,Van,5.7,15,25,66,81,205.03,0
ORD0023,2026-07-02,Central,Truck,22.5,10,50,127,156,434.38,0
ORD0024,2026-07-24,South,Van,41.2,19,25,217,226,662.22,0
ORD0025,2026-07-12,South,Mini Truck,24.0,17,15,138,132,406.05,1
ORD0026,2026-07-30,North,Van,27.1,5,25,131,142,400.19,0
ORD0027,2026-07-06,West,Van,8.3,4,25,62,55,191.09,1
ORD0028,2026-07-02,North,Van,17.2,10,25,105,114,334.71,0
ORD0029,2026-07-28,West,Mini Truck,20.8,17,15,144,156,379.41,0
ORD0030,2026-07-21,South,Mini Truck,2.1,10,15,55,44,163.44,1
ORD0031,2026-07-01,North,Van,6.7,17,25,80,98,193.33,0
ORD0032,2026-07-12,Central,Truck,32.6,20,50,177,191,594.8,0
ORD0033,2026-07-26,East,Mini Truck,5.1,5,15,43,64,113.22,0
ORD0034,2026-07-22,West,Truck,29.7,2,50,133,124,417.74,1
ORD0035,2026-07-29,East,Truck,5.1,6,50,51,45,178.81,1
ORD0036,2026-07-12,East,Van,6.9,2,25,30,44,152.79,0
ORD0037,2026-07-25,North,Van,17.4,13,25,106,107,362.22,0
ORD0038,2026-07-17,East,Mini Truck,13.8,11,15,90,98,302.07,0
ORD0039,2026-07-27,Central,Mini Truck,10.3,11,15,67,76,276.76,0
ORD0040,2026-07-27,East,Truck,31.9,16,50,178,196,560.36,0
ORD0041,2026-07-31,North,Van,5.8,11,25,52,50,179.26,1
ORD0042,2026-07-10,Central,Van,12.0,19,25,100,111,328.82,0
